m,n,Condition Number,Sparsity,Sparsity Pattern,Spectrum,Lambda,Solver,Mean_Time,Std_Time,Mean_Iterations,Mean_Residual,Mean_Relative_Error
2100,50,10,0.0,random,exponential,0,LSQR,0.005410410277545452,9.885707381290152e-05,51.6,0.45352979135115523,0.04583067364056548
2100,100,10,0.0,random,exponential,0,CG,0.0012255337089300156,2.8059430543735107e-05,66.4,0.44901479276924106,0.04625828278593524
2100,100,10,0.0,random,exponential,0,Direct,0.0014535791240632534,1.8365728813676535e-05,1.0,0.44901479276922973,0.04625828114109123
2100,100,10,0.0,random,exponential,0,LSMR,0.012110376451164483,8.974598052488446e-05,65.8,0.4490147927692535,0.046258286178396266
2100,100,10,0.0,random,exponential,0,LSQR,0.012154224887490272,0.0001605112078347171,67.4,0.4490147927692358,0.04625828365013864
2100,500,10,0.0,random,exponential,0,CG,0.006425623316317797,4.223450349648359e-05,81.2,0.39803458444237244,0.04879243630189318
2100,500,10,0.0,random,exponential,0,Direct,0.019733122177422048,0.00016318329696743864,1.0,0.39803458444231665,0.04879243741864642
2100,500,10,0.0,random,exponential,0,LSMR,0.044009222835302356,0.0003753452002412664,83.4,0.39803458444235196,0.04879243657345904
2100,500,10,0.0,random,exponential,0,LSQR,0.045135979540646076,0.0005318187474326372,86.2,0.3980345844423233,0.04879243690719859
2100,2000,10,0.0,random,exponential,0,CG,0.09382251417264342,0.001058905022606244,83.8,0.09942077810978309,0.04667485824512034
2100,2000,10,0.0,random,exponential,0,Direct,0.3158226640895009,0.0009635330085699867,1.0,0.09942077810893529,0.04667485799170577
2100,2000,10,0.0,random,exponential,0,LSMR,0.20603722017258405,0.0008641379688545611,96.0,0.09942077810894559,0.04667485811375053
2100,2000,10,0.0,random,exponential,0,LSQR,0.2099387338384986,0.0018083312379678054,98.8,0.09942077810893717,0.0466748580680211
2100,2500,10,0.0,random,exponential,0,CG,0.15871900599449873,0.0010540320246785087,83.8,4.215810336990467e-07,0.4049238664415391
2100,2500,10,0.0,random,exponential,0,Direct,0.5425270015373826,0.008034613119239505,1.0,2.8000740225136987e-12,25.20110085576822
2100,2500,10,0.0,random,exponential,0,LSMR,0.21563745914027094,0.00030619753480883586,76.0,2.6068693941375075e-06,0.404923866852696
2100,2500,10,0.0,random,exponential,0,LSQR,0.2118384507484734,0.001001203581044721,74.6,2.6681862979028294e-06,0.4049238670543443
